product_id,product_name,category,price
1,Product_1,Clothing,9860.9
2,Product_2,Electronics,14385.66
3,Product_3,Beauty,25357.17
4,Product_4,Sports,26660.27
5,Product_5,Beauty,40317.93
6,Product_6,Beauty,39609.37
7,Product_7,Clothing,29152.05
8,Product_8,Beauty,39083.12
9,Product_9,Clothing,9750.32
10,Product_10,Sports,2693.21
11,Product_11,Sports,43706.96
12,Product_12,Clothing,3962.61
13,Product_13,Electronics,12485.08
14,Product_14,Sports,34826.88
15,Product_15,Electronics,20590.51
16,Product_16,Sports,43840.44
17,Product_17,Sports,15039.39
18,Product_18,Home,791.19
19,Product_19,Beauty,15172.65
20,Product_20,Beauty,28988.14
21,Product_21,Electronics,18921.73
22,Product_22,Beauty,26836.66
23,Product_23,Electronics,43854.59
24,Product_24,Sports,45641.76
25,Product_25,Home,13445.51
26,Product_26,Home,23214.6
27,Product_27,Sports,27547.37
28,Product_28,Clothing,47465.8
29,Product_29,Clothing,49931.14
30,Product_30,Beauty,11923.28
31,Product_31,Electronics,36403.6
32,Product_32,Home,19025.95
33,Product_33,Beauty,603.79
34,Product_34,Sports,660.78
35,Product_35,Home,23136.19
36,Product_36,Electronics,24519.08
37,Product_37,Electronics,1323.97
38,Product_38,Clothing,34408.99
39,Product_39,Beauty,14841.37
40,Product_40,Sports,28082.68
41,Product_41,Home,15185.77
42,Product_42,Electronics,8523.29
43,Product_43,Home,20477.25
44,Product_44,Sports,11767.21
45,Product_45,Home,26833.09
46,Product_46,Beauty,10101.66
47,Product_47,Clothing,25518.62
48,Product_48,Home,8037.45
49,Product_49,Clothing,33614.54
50,Product_50,Sports,37746.1
51,Product_51,Clothing,5697.63
52,Product_52,Home,23496.56
53,Product_53,Home,3729.41
54,Product_54,Electronics,29989.49
55,Product_55,Home,13367.33
56,Product_56,Clothing,26475.7
57,Product_57,Electronics,25969.56
58,Product_58,Home,46232.85
59,Product_59,Home,27544.34
60,Product_60,Sports,29233.32
61,Product_61,Electronics,20202.33
62,Product_62,Sports,47464.16
63,Product_63,Sports,38903.86
64,Product_64,Sports,14413.18
65,Product_65,Beauty,42241.64
66,Product_66,Sports,21733.34
67,Product_67,Clothing,41467.62
68,Product_68,Home,41179.83
69,Product_69,Beauty,9605.74
70,Product_70,Sports,35116.83
71,Product_71,Home,14674.02
72,Product_72,Electronics,15015.13
73,Product_73,Electronics,14958.13
74,Product_74,Home,36333.3
75,Product_75,Clothing,11645.34
76,Product_76,Home,245.11
77,Product_77,Home,35818.8
78,Product_78,Beauty,8725.0
79,Product_79,Electronics,5403.22
80,Product_80,Electronics,12028.3
81,Product_81,Sports,19119.05
82,Product_82,Home,23900.14
83,Product_83,Home,2419.59
84,Product_84,Clothing,48534.55
85,Product_85,Electronics,35859.94
86,Product_86,Clothing,16295.06
87,Product_87,Beauty,16071.12
88,Product_88,Sports,22537.42
89,Product_89,Clothing,31386.99
90,Product_90,Electronics,7489.38
91,Product_91,Beauty,9608.7
92,Product_92,Home,42999.84
93,Product_93,Beauty,12961.5
94,Product_94,Clothing,19133.71
95,Product_95,Electronics,43589.34
96,Product_96,Clothing,33224.76
97,Product_97,Home,17217.25
98,Product_98,Home,34248.24
99,Product_99,Electronics,1180.22
100,Product_100,Sports,36835.0
